face-style|["face-style"]|face-style,public
gpt-image-2.5-1k|["openai"]|image2.5,1k
jimeng-5.0|["openai"]|
sd-2.0-720|["openai"]|seedance2.0,真人
sd-2.0-720-fast|["openai"]|seedance2.0,真人
sd-2.0-933-720-fast-原生真人|["openai"]|seedance2.0,真人
sd-2.0-933-720-满血原生真人|["openai"]|seedance2.0,真人
seedance-2.0-900|["openai-video"]|seedance2.0
seedance-2.0-900-不重试|["openai-video"]|
seedance-2.0-933|["openai-video"]|seedance2.0
seedance-2.0-933-不重试||
seedance-2.5-101010|["openai-video"]|seedance2.5
seedance-2.5-101010-KiLig|["openai-video"]|
seedance-2.5-101010-不重试||
seedance-2.5-301010|["openai-video"]|seedance2.5
seedance-2.5-301010-KiLig|["openai-video"]|
seedance-2.5-301010-不重试||
seedance-2.5-900|["openai-video"]|seedance2.5
seedance-2.5-900-不重试||
